iter	Passed	Remaining
0	144	143918
1	145	72412
2	145	48494
3	146	36490
4	147	29280
5	147	24475
6	148	21036
7	148	18458
8	149	16470
9	150	14866
10	150	13559
11	151	12455
12	151	11522
13	152	10724
14	152	10030
15	153	9423
16	153	8886
17	154	8409
18	154	7983
19	155	7598
20	155	7253
21	156	6937
22	156	6649
23	157	6385
24	157	6142
25	157	5918
26	158	5708
27	158	5515
28	159	5336
29	159	5168
30	160	5010
31	160	4862
32	161	4724
33	161	4593
34	162	4471
35	162	4355
36	163	4246
37	163	4142
38	164	4043
39	164	3948
40	164	3858
41	165	3773
42	165	3692
43	166	3615
44	166	3540
45	167	3468
46	167	3401
47	168	3336
48	168	3273
49	169	3213
50	169	3155
51	170	3099
52	170	3046
53	170	2995
54	171	2946
55	171	2898
56	172	2852
57	172	2808
58	173	2764
59	173	2722
60	174	2681
61	174	2642
62	175	2604
63	175	2566
64	175	2531
65	176	2497
66	176	2464
67	177	2433
68	177	2401
69	178	2370
70	178	2340
71	179	2311
72	179	2282
73	180	2255
74	180	2228
75	181	2202
76	181	2177
77	182	2154
78	182	2129
79	183	2106
80	183	2082
81	184	2060
82	184	2035
83	184	2014
84	185	1997
85	186	1977
86	186	1957
87	187	1938
88	187	1919
89	187	1900
90	188	1881
91	188	1863
92	189	1845
93	189	1828
94	190	1811
95	190	1795
96	191	1778
97	191	1762
98	191	1746
99	192	1731
100	192	1716
101	193	1701
102	193	1687
103	194	1673
104	194	1659
105	195	1645
106	195	1632
107	196	1619
108	196	1606
109	196	1593
110	197	1580
111	197	1568
112	198	1556
113	198	1545
114	199	1533
115	199	1521
116	200	1509
117	200	1498
118	200	1487
119	201	1477
120	201	1466
121	202	1455
122	202	1445
123	203	1435
124	203	1425
125	204	1417
126	204	1407
127	205	1398
128	205	1388
129	206	1379
130	206	1370
131	207	1361
132	207	1352
133	207	1343
134	208	1335
135	208	1326
136	209	1318
137	209	1310
138	210	1303
139	210	1295
140	211	1287
141	211	1279
142	212	1271
143	212	1263
144	213	1256
145	213	1248
146	213	1241
147	214	1234
148	214	1227
149	215	1221
150	215	1214
151	216	1207
152	216	1201
153	217	1194
154	217	1187
155	218	1181
156	218	1174
157	219	1168
158	219	1162
159	220	1155
160	220	1148
161	220	1143
162	221	1136
163	221	1131
164	222	1125
165	222	1119
166	223	1113
167	223	1107
168	224	1102
169	224	1096
170	225	1091
171	225	1085
172	226	1080
173	226	1075
174	226	1069
175	227	1064
176	227	1059
177	228	1054
178	228	1049
179	229	1046
180	230	1041
181	230	1036
182	231	1031
183	231	1026
184	232	1022
185	232	1017
186	232	1012
187	233	1007
188	233	1003
189	234	999
190	234	994
191	235	989
192	235	985
193	236	981
194	236	977
195	237	972
196	237	968
197	238	964
198	238	960
199	238	955
200	239	951
201	239	947
202	240	943
203	240	939
204	241	935
205	241	932
206	242	928
207	242	924
208	243	920
209	243	917
210	244	913
211	244	909
212	245	905
213	245	902
214	246	898
215	246	894
216	246	891
217	247	887
218	247	883
219	248	880
220	248	877
221	249	873
222	249	870
223	250	867
224	250	863
225	251	860
226	251	857
227	252	853
